Desolation , Wasa
 Desperate , Shíako 
Desperation,  Ekoshía 
Despise , Fiàmi 
Despiser , Emifiàci 
Despising  ,Emifià 
Dessert  ,Nyakunnia 
Dessertspoon , Kòzhiya 
Destitute,  Gate 
Detain , Wankan 
Destination,  Èlobà 
 Destine , Kpásuṇ 
Destiny  ,Suṇkpá 
Destitute  ,  Zàdà 
Destitute person  , Zàdàci Ezàdàci 
Destroy  ,Bozhìṇ 
Destruction,  Vuṇgà 
Detail,  Sòtúkùn 
Detail , Túkùnsò 
Detain , Kàṇdạn 
Determine(find out) , Lúyè 
Determining(finding out)  ,Yèlú Èyèlú 
Determination(decision),  Ewùshì 
Determined(decided) , Shìwù 
Detest  ,Ṇàbǒ 
Detesting  ,Bǒṇà 
Detonate,  Pokin 
Detract  ,Jiṇba Jiṇ ba 
Detraction  ,Ebajiṇ 
Deuce , Bàgi 
Devastate , Kuduru 
Devastated , Kuduru 
Develop , Mâ
 Development , Mimâ 
Devil  ,Dèdèṇyà 
Devoid  ,Ké kpokporo 
Devote,  Lìlìzhì Lì lìzhì 
Devotee , Lìlìzhìci 
Dew , Eṃià
 Dewlap  ,Lẉòlẉò 
Dexterous  ,de yema 
Dexterity , Yema 
Diagonal,  Gbwagbwa 
Dialect  Edi, Diarrhoea  Fòrò 
Dice  ,Edzu 
Dick , Babangi 
Dictate , Céfíṇ 
Dictation,  Efíṇcé 
Dictator,  Fíṇcéci Efíṇcéci 
Die  ,Tsu 
Die , Edzu 
Die cast ,a  Cedzu 
Diehard , Gòsuṇgi 
Diehardness  ,Esuṇgògi 
Diet , Munu 
Differ  ,Kpérí 
Difference , Èríkpé 
Different  ,Kpérí 
Differentiate , Kpéyérí 
Difficult,  Zò 
Difficult person , Zazò 
Difficulty,  Èzò 
Diffuse , Sǎsǎ 
Dig,  Gbà 
Dig (break up the ground)  ,Dzú 
Digest,  Gínîn Gí nîn 
Digestion  ,Nîng 
Digit,  Bòni 
Dilapidated , Dzogo 
Diligence,  Nyạgbàṇgidan 
Diligent,  Ginyạgbàṇdan
 Dilemma,  Kpere 
Dilute ,  Tsayé 
Dim  ,Cin 
Diminish,  Yífí 
Diminutive,  Wuria 
Dimly , Zhìkòzhìnyǐ 
Dimness  ,Zhìkòzhì 
Diminutive , Kpiàkpiàgi 
Dim-witted  ,Tòtò 
Dine , Gishè Gi èshè 
Dinner , Èshè 
Dinosaur ,Gbǎgbǎlû 
Dip (rinse) , Tsú 
Dipper,  Káṇtóra 
Direct  ,Nǎruró 
Direct,  Shigwa 
Direction,  Nǎru
 Director , Gwashici 
Dirt  ,Shíkàṇ 
Dirty , Shíshíkàṇ
 Disvantage  ,Wobi 
Disappear , Pàtsùṇ 
Disappoint  ,Gí ràtsà 
Disappointment  ,Ràtsà 
Disappointment ,Kash! 
Disarray  ,Dzúgúdzúgú
 Disaster , Bannạ 
Disband , Gáṇsan 
Disburden  ,Dákàrà 
Disburdenment,  Kàràdá 
Disc  ,Feferí 
Disciple , Gǔṇniạtùgi
 Discipline , Gǔṇniạtù 
Discipline  ,Tùgǔṇniạ 
Disconcerted , Sakunyi
 Discount,  Wódíṇ
 Discount  ,Díṇwó Díṇ ewó 
Discourage , Lòtí 
Discouragement,  Etílò
 Discover,  Kpéyékpé 
Discovery,  Yékpékpé 
Discreet  ,Bèrènyǐ 
Discrepant , Késá 
Discrete  ,Dakidaki 
Discretion,  Bèrè 
Discuss , Bàzà 
Discussion,  Èzàbà 
Disease , Cíṇgùṇ 
Diseased , Jiṇ cíṇgùṇ 
Disgrace  ,Gbàmi 
Disgrace,  Migbà 
Disguise,  Sóbàṇ 
Disgust , Suṇgó 
Disgust , Egósuṇ 
Dish , Evo 
Disheveled , Watawata 
Dish out  ,Kó 
Disjointed , Tentente 
Disjointedly , Tententenyǐ 
Disk , Fefe 
Diskette  ,Fefegi 
Dislike  ,Nunu 
Dislocate (bone)  ,Yé 
Dismember , Nyibàgúṇ 
Dismemberment , Bàgúṇnyi 
Dismiss  ,Túmi 
Disobey  ,Ṇàgàṇṇàvǒ 
Disobedience , Egàṇṇàvǒ 
Disorder  ,Wubiwubi 
Disparage  ,Sázhì 
