Gourmandise , La yekara
 Gout  ,Wulegi 
Govern,  Gigbata 
Governance , Gbàtàgi 
Government , Gbàtàkùṇ 
Governor , Gbàtà 
Gown  ,Bǔlà Èwò bǔlà 
Grab,  Fego 
Gradual ,Gbangban 
Graduate,  Cinkatun
 Graft,  Ètú
 Grain  ,Eyigi Yigi 
Grainy , Gigi 
Granary , Dòbǐ 
Grand ,Bazhini 
Grandchild  ,Yagi 
Grandfather,  Ndako 
Grandma , Nyingbako
 Grand master , Ndace cf Hunter  
Grandmother  ,Nnako
 Grandmother (maternal) , Nnakominna 
Grandmother (paternal) , Nnakominda 
Grand parent  ,Nyamanko 
Granite , Kisagi 
Granitic , Kisanyi 
Granule  ,Kpórokpórogi 
Granny , Kàká 
Grape  ,Furuntu 
Graphic ,Káyònyǐ 
Graphics  ,Yònyǐká 
Grapple  ,Din 
Grasp  ,Kpakùn 
Grasp , Èkùnkpà 
Grass,  Egó 
Grass (a generic name) , Etó
 Grasshoppe,r  Kpǎtô 
Grasshopper (small one)  ,Kokondagi 
Grassland , Gbegè
 Grassroots,  Ètsan
 Grass widow , Mạtsú 
Gratitude , Ejinda 
Gratitude express  ,Dajin 
Grave  ,Kòshia
 Grave digger , Kòshiagbaci 
Graveyard , Kòshiabà 
Gravel , Ciakia
 Gravid , Wangi
 Gray  , Kpàyigi
 Gray matter , Tíkoro Etíkokorogi 
Graze,  Ma 
Grease , Roro 
Great ,Wáṇcíṇ Wáṇcíṇko 
Great grandchild,  Èyà 
Greatness,  Cíṇwáṇ 
Greed,  Boyéfá
  Greedy,  Fàboyé  
Greedy person , Boyéfáci  
Greek , Giriki 
Green,  Ègi 
Green (deep green) , Aliga 
Green (light green),  Korina 
Green (vegetable) , Zongbara 
Green beans , Zongbara 
Greenery ,Finniko 
Greenfly,  Bìgǐ 
Green locust fruit , Nyangudu 
Greet,  Sami
 Greeting  ,Emisa 
Grey  ,Nampata 
Grief  ,Sisâṇ
 Grieve , Sâṇ 
Grill,  Tsan 
Grilled meat,  Basanta 
Grim , Nampata 
Grimace , Fanye 
Grimace,  Eyefan 
Grimy , Swakwa 
Grind,  Go 
Grind,  Ego 
Grinder  ,Etá 
Grinder (corn) , Kanga 
Grindstone,  Ganzhe 
Grip  ,Wangwa 
Gristle,  Yadi 
Grit  ,Tsakugi 
Gritty ,Tsaku 
Groan , Zhidùṇ 
Groan,  Edùṇzhi 
Groom , Enú 
Groomsman,  Eya bayawo 
Groove,  Edin 
Grope,  Kagwá
Gross , Puga 
Ground  ,Kin Èkin 
Ground,  Kin 
Ground (dregs),  Cekigi 
Ground beans,  Edzu Yédzu 
Groundnut,  Guzhia 
Groundnutoil  ,Roró Emi kuli Emi guzhia 
Groundnut (fried),  Sharuwa
 Grounds , Tsaki 
Groundwork,  Muci 
Group , Ègbè 
Grouse,  Kparo 
Grow (animal) , Sa
 Grow (plant) , Nyapá 
Grown-up , Dángáṇ 
Growth , Sisa
 Grub  ,Shiàrià 
Grub (larva)  ,Kontoro 
Grubby , Kwani
 Gruel,  Kàtsáṇ 
Grueling ,Kpankuru 
Grumble  ,Giṇtìṇ 
Grumble  ,Etìṇgiṇ 
Grunt,  Gbiṇdùṇ 
Grunt , Edùṇgbiṇ 
Guard  ,Pa 
Guard  ,Bàpaci 
Guardian,  Ndakata Nda kata 
Guava  ,Goyiva 
Guess , Sosoko
 Guess , Sosokongi
 Guessing,  Sosoko
 Guest,  Ega 
Guest house  ,Emiga Emi ega 
Guest inn , Daninga Edanin ega 
Guide , Wuba 
Guide  ,Bawuci Ebawuci
