Agnate , Yémạ 
Agnathan  ,Ràngbakun 
Agnathia , Ràngbakungùṇ 
Agni,  Sònàṇ; Àgunì 
Agnolotti,  Èkálì 
Agnomen,  Yenici 
Agnosia , Ràgbáṇro 
Agnostic , Ràgbáṇkpeci 
Agnosticism , Ràgbáṇkpejiṇ 
Agnus castus  ,Cigbàṇ tsátsà 
Agnus Dei  ,Nạngi Sòkó 
Ago ,advLělè 
Agog , Womáṇro –
agog ,Mishìgi- 
Agogic  ,Mishìgùn 
Agogics , Mishìkàn
 A gogo ,Kpo bodo –
agogue , Mishìgi- 
Agonise, Táṇgbáṇ 
Agonised , Gbáṇtáṇg
ạ Agonising , Táṇgbáṇgạ 
Agonist  ,Gbáṇtáṇci 
Agonistic , Gbáṇtáṇkùn
 Agony , Gbáṇtáṇ 
Agony aunt , Nnặgi gbáṇtáṇ 
Agony column , Èkpó gbáṇtáṇ 
Agony uncle,  Ndǎgi gbáṇtáṇ 
Agora (Greek),  Kàṇyedạ 
Agora (Israeli),  Wógi 
Agorae , Kàṇyedạ 
Agoraphobia , Dàṇwǒgạkàṇyedạ
 Agorot , Wógi
 Agouti , Agúti 
Agra , Agúra 
Agrahayana , Agúráhayánạ
 Agranulocyte , Kiáwuṇzhikpórogi
 Agrapha,  Zhìkikáci
 Agraphia , Zhìnyạká 
Agrarian,  Kânnùkùn
 Agrarianism , Kânnùkùnjiṇ
 Agree ,Yé; Yégbáṇ 
Agreeable person,  Ezàyèkò 
Agreement , Egbányé 
Agreement of sale  ,Egbányé  nyạ Nyạkún 
Agrestal,  Kúlatí 
Agrestic , Kúlatíci 
Agri, Kânrí 
Agribusiness,  Bùcájiṇkânró 
Agrichemical , Nyạsạgikânrí 
Agricultural,  Kânnùgi 
Agriculture , Kânnù 
Agriculturist , Kânnùci 
Agri-food,  Nyạgícikânrí 
Agrimony , Túrikạ 
Agriterrorism , Eyédzújiṇkânrí 
Agro,Kânró 
Agrobiology , Kpikenạkânró 
Agrochemical,  Nyạsạgikânró 
Agrodolce  ,Bákámạnạ 
Agrofestry , Kúsòkùnkânró 
Agroindustrial , Bájiṇtuṇcikânró 
Agroindustry,  Bájiṇtuṇkânró 
Agrology,  Kpikpekânró 
Agronomic  ,Kpikpekîṇgạ 
Agronomics , Wóyékpakânró 
Agronomy,  Kîṇgạn 
Agrostology,  Kpikpegó 
Aground  ,Kotú 
Agua fresco , Nuwaṇdáfègi 
Aguardiente  ,Nuwaṇnạgi 
Ague  ,Bàgùṇ
 Ah!, Áh! 
Aha! ,Àhá! 
Ahead  ,Dạyé o 
Ahem! , Nhúṇ 
Ahimsa , Ràgùṇ 
Ahistory,  Zhìtàṇ
 Ahold  ,Gwasuṇkạn 
Aholehole , Gwankạnkạn –
Aholic, Shigi- 
A-horizon,  Nugúṇfìṇ-
A Ahoy! , Àháya! 
 
Ahriman  ,Nạgbạṇ gàgùṇ; Árimạn 
Ahura Mazda,  Tsòci Lùkóntágbạṇci 
Aid, Cewú 
Aid  ,Ewúce
 Aid agency  ,Zàtunta ewúce
 Aid climbing , Guṇguṇ ewúce 
Aide  ,Egi kata 
Aided  ,Wúceci 
Aide-de-camp  ,Egi kata-nyạ-dòta 
Aided recall  ,Ebótuṇyé wúceci 
Aid elimination,  Etíwu ewúce
 Aide-memoire,  Egbàṇpa ewúce 
Aid ladder,  Ekpa ewúce
 Aid rating  ,Milògùṇ ewúce
 AIDS  ,Kékúṇtáṇ 
AIDS dementia , Rànyạgbạn kékúṇtáṇ 
AIDS dementia complex , Yéguṇ rànyạgbạn kékúṇtáṇ 
AIDS enteropathy,  Nạtáṇnîndzù kékúṇáṇ
 AIDS wasting syndrome  ,Cigáṇí zuzoya kékúṇtáṇ 
