Entrain  ,Dạnya
 Entrance , Yǎkǔṇ
 Entrance way , Yǎkǔṇta 
Entrap  ,Cintangi 
Entrust  ,Mạgwa 
Entryway , Lami 
Enviable,  Nyanyạgbàṇla 
Envisage,  Bayèshi 
Envious  ,Nyạngbàṇlàgi
 Envoy  ,Kîntuṇ
 Envy , Là nyạngbàṇ 
Envy  ,Nyạngbàṇlà 
Enzyme  ,Nímbǒgi 
Eon  Roro Epilepsy,  Kpiariagi 
Epileptic fit have,  Wạṇ kpiariagi 
Eponym,  Dzòkó 
Equal , Eló
 Equal,  Dạnlǒ 
Equalize  ,Lódạn
 Equality , Elódạn
 Equate,  Zhèló 
Equation , Elózhègi 
Equator , Elóyizhè Eló yizhè 
Equatorial  ,Elóyizhègi 
Equivalent  ,Fùkà 
Era  ,Ekákó 
Erase,  Nǔya 
Eraser,  Nǔkà 
Erasing,  Nǔnǔya 
Erect,  Kpétú 
Erosion , Bàba 
Error , Gwabi
 Eruct,  Bèdạn 
Eruption (skin), Èpúkó 
Erupt  ,Làkpe 
Eruption,  Lilàkpe
 Escape  ,Gạngwa 
Escape,  Egwagạn 
Escarpment,  Gàkpạṇ 
Escort , Pànîn 
Escort  ,Nînpàci 
Esophagus,  Èyígi
 Esoteric, Wuru
 Especially , Toto 
Establish , Shìgbàṇ 
Establishment,  Gbàṇshì Ègbàṇshì 
Estate  ,Esòzhì
 Esteem,  Kuṇkuṇ 
Estimate , Shi kuṇkuṇ 
Estimation  ,Kuṇkuṇshi 
Eternal  ,Dạmbodạn 
Eternity  ,Dạmbodạnci 
Eulogize , Bakaye 
Eulogy , Kayeba 
Eunuch , Èpótsu 
Euphorbia,  Lówu 
Eve , Dakia 
Evaluate , Díkuṇkuṇdạn
 Evaluation  ,Kuṇkuṇdạndí 
Eve  ,Awawu
 Eve (evening before),  Yěli 
Even  Ka Even (levelled)  ,Talò 
Even,  Lòta 
Even if , Kabo 
 
Even though ,Katonạdě 
Evening  ,Lǒzhùṇ 
Event  ,Jiṇkó Ejiṇkó 
Ever  ,Kálo 
Everlasting  ,Fojiṇkálo
 Every  ,Ndorò 
Everybody,Zàndorò 
Every day,  Fondorò 
Everywhere , Bàndorò 
Evidence,  Èrǐ 
Evidence give , Jiṇrǐ Jiṇ èrǐ
 Evil , Kpíkpi 
Evil,  Ekpí
 Evildoer , Kpíkpíjiṇci 
Evil eye , Eyé kpíkpí 
Evil one,  Kpíkpítsó 
Evil person  ,Ezà kpíkpí 
Ewer , Dárokó 
Exact,  Gíṇyàṇyà 
Exact  ,Cin
 Exaction , Ṇyàṇyà 
Exactly  ,Cinyi 
Exaggerate , Yà rúba
 Exaggeration , Rúba 
Exalt  Do Examination  ,Yěṃá 
Examine  ,Sǎngbe 
Example , Sàṇtági 
Example make  ,Jiṇ sàṇtági 
Excel , Dù 
Except, Mbaci 
Except , Kàgǎṇ 
Exceptional,  Wurieni 
Excess,  Dùtu
 Exchange , Sàṇ Sàṇgwa
 Exchange,  Gwasàṇgi 
Exchanger,  Gwasàṇci 
Exchanging , Gwasàṇ 
Excite,  Nìdùṇ
 Excitement,  Edùṇnì 
Exclaim,  Tíyé 
Excoriate,  Fu 
Excreta,  Emi 
Excrete,  Tsami 
Excuse,  Wạṇswà 
Excuse , Swàwạṇ Eswàwạṇ 
Execute (kill) , Gbíṇtí 
Execute (do carry out) , Gbamitú 
Execution (killing)  ,Etígbíṇ 
Execution (doing carrying out) , Emigbatú 
Executive , Zàmigbatú 
Exemplary,  Sàṇtágici 
Exemplify,  Tásàṇ 
Exercise  ,Dìṇnàkàṇ 
Exercise  ,Nàkàṇdìṇ 
Exert  ,Gbanyzu 
Exertion , Nyzugban
 Exfoliator, Bongi 
Exhaust,  Bebe 
Exhaustion,  Bebe 
Exhaustive , Bebegi
 Exhume  ,Bǐ 
Exigency , Garazhe 
Exist  ,Zan 
Existence,  Zizan
 Exit , Tiṇya 
Exit , Dzungi 
Exorbitant , Gòzo
 Expand , Ma 
Expansion,  Pàràta
 Expect , Túyé 
Expectation , Yétú 
Expedite  ,Gígèrě
 Expedition , Gèrěgí 
Expedition (trip),  Fàzan 
Expeditious , Gèrěnyǐ 
Expel , Ṇyádzùṇ
 Expend,  Luwó Lu ewó 
Expending,  Luluwó 
Expenditure , Wólu
 Expense,  Lóṃá 
Expensive ,  Ṃáló 
Experience  ,Woshià
 Experience,  Eshiàwo
 Experiment , Jiṇciṇlě 
Experiment,  Jiṇjiṇciṇlě  
 Expert,  Egbá 
Expire,  Fí 
Explain,  Kpéye 
Explanation,  Gàṇkpé 
Explicate , Kpé gbángbá  
Explication  ,Gbángbákpé 
Explicit,  Gbángbá
 Explicitly , Gbángbányǐ 
Explode , Pòkin 
Explore , Tudan 
Explosion , Kinpò 
Expose ,  Kpeye 
Exposure , Yekpe 
Expound , Kpéyépàrà
 Express (show say) , Gbegádá 
Express (fast),  Furu
 Express (fast) , Furunyǐ 
Expression  ,Gádágbe 
Expressionism , Gádágbejin
 Expound,  Wuti Wu etigan Wu eti egan 
Expulsion , Nyiṇyádzùṇ 
Exquisite ,Fagankonyi 
Extant,  Kạriko
 Extend  ,Lèlé 
Extended  ,Lélè 
Extensive,  Bibibi 
Extensively , Bibinyǐ 
