"B","","","Back and forth, adv., Dalo dazhin."
"","","","Back, small of, n., Zùṇṃà làfogi."
"Baal, n., Bǎlà.","","",""
"","","","Back, v., Tú zùṇmạ."
"Baalbek, n., Bǎlàbekì.","","",""
"","","","Backbite, v., Gàṇnyi."
"Baas, n., Bǎsà.","","",""
"","","","Backbiting, n., Ezàgàṇnyi."
"Baasie, n., Bǎsi.","","",""
"","","","Backbone, n., Tsúkùṇ zùṇṃà."
"Baaskap, n., Bǎsikapi.","","",""
"","","","Back, come, v., Zhíṇ zùṇṃà."
"Baath, n., Basi.","","",""
"","","","Backer (disciple), n.,Zà zùṇṃà; Ezà"
"Baathism, n., Basijin.","","",""
"","","","zùṇṃà."
"Bab, n., Babi.","","",""
"","","","Back, go, v., Lo zùṇṃà."
"Baba, n., Bàba.","","",""
"","","","Backhander, n., Nyạgwatạn;"
"Babbitt, n., Babìti.","","",""
"","","","Enyạgwatạn."
"Babble, v., Gǔgúló.","","",""
"","","","Backing, n., Zùṇṃàtú."
"Babe, n., Màṃàngi.","","",""
"","","","Back of hand, n., Egwa zùṇṃà."
"Babe in arm, n., Màṃàngwa.","","",""
"","","","Backside, n., Zùṇṃà kàsàṇ."
"Babe magnet, n., Ndǎshîn màṃàn.","","",""
"","","","Backslide, v., Gbìdò."
"Babel, n., Babilà.","","",""
"","","","Backstitch, n., Ṃàsíta."
"Babesiosis, n., Babìsìtáṇ.","","",""
"","","","Backsword, n., Biení; Ebi emi ení."
"Babi, n., Babici.","","",""
"","","","Backwoods, n., Zanu."
"Babiche, n., Kpàkùn.","","",""
"","","","Bacon, n., Kàṇtsùṇ; Nạkàṇ kutsùṇ."
"Babinski reflex, n., Gbígí Babìnskì.","","",""
"","","","Bad, adj., Bi."
"Babism, n., Babijin.","","",""
"","","","Bad, n., Ebi."
"Baboo, n., Bàbú.","","",""
"","","","Badger, n., Giriko."
"Baboon, n., Gbògì.","","",""
"","","","Badland, n., Kîntífù."
"Babu, n., Bàbú.","","",""
"","","","Bad luck, n., Càkú."
"Babul, n., Bàbulà.","","",""
"","","","Baft, n., Kóshí."
"Babushka, n., Nnǎkókó.","","",""
"","","","Bag, n., Nạmbà."
"Babuyan Islands, n., Esùṇ","","",""
"","","","Baggage, n., Lukutu."
"","Babuyanzhi.","",""
"","","","Baggy, adj., adv., Fàṇkùṇ."
"Baby, n., Màṃàn.","","",""
"","","","Bagpipe, n., Bǐbàginạmfa."
"Baby blue, n., Dòfa màmàn.","","",""
"","","","Bahama grass, n., Dinkankan."
"Baby blues, n.,","","",""
"","","","Bait, n., Egi."
"Babyboy, n., Ndǎkógi.","","",""
"","","","Bake, v., Ṇyà."
"Babygirl, n., Nṇǎkógi.","","",""
"","","","Baking, n., Nyiṇyà."
"Bachelor, n., Èkpáṇ.","","",""
"","","","Balance, n., Vonbà; Evo gubà."
"Back, n., Zùṇṃà.","","",""
"","","","Balance, v., Bànvo."
"Back (human body), n., Ṃàsùṇ.","","",""
"","","29",""
